Field_Name,Time_Stamp,CO2_ppm,Nitrate_ppm,pH,Temp_C,Moisture_pct,Microbial_Health_Score
Field-G,2025-12-18 08:38,957,24.0,7.0,24.0,35.0,9.9 (Excellent)
Field-H,2025-12-02 00:08,851,16.2,5.9,24.8,26.7,6.2 (Fair)
Field-B,2025-12-12 05:40,1019,16.7,5.2,23.4,45.9,7.2 (Good)
Field-J,2025-12-13 22:09,519,17.4,5.4,22.5,31.5,4.8 (Fair)
Field-B,2025-12-06 09:30,485,21.3,4.8,26.3,47.7,5.6 (Fair)
Field-H,2025-11-28 03:15,1013,2.8,6.4,24.6,29.8,6.1 (Fair)
Field-F,2025-12-04 20:23,1066,2.0,6.0,27.6,32.4,5.8 (Fair)
Field-A,2025-12-03 02:51,1096,7.7,7.0,22.6,49.8,7.5 (Good)
Field-H,2025-11-25 09:19,536,16.7,6.4,24.1,49.2,6.0 (Fair)
Field-I,2025-12-02 22:10,900,27.0,6.7,23.5,48.4,9.8 (Excellent)
Field-C,2025-12-10 04:17,824,16.0,5.4,23.5,40.8,6.1 (Fair)
Field-I,2025-11-30 10:46,1095,17.2,7.5,18.8,50.1,7.6 (Good)
Field-J,2025-12-11 12:01,891,18.8,5.7,22.4,40.7,7.0 (Good)
Field-F,2025-11-20 17:24,481,12.1,7.7,27.3,39.5,4.1 (Poor)
Field-B,2025-11-25 08:11,1095,9.1,7.3,24.6,28.3,6.3 (Fair)
Field-J,2025-12-15 04:25,729,18.6,7.4,22.7,43.2,6.7 (Good)
Field-B,2025-12-01 11:13,1056,27.9,5.6,19.9,47.5,9.9 (Excellent)
Field-I,2025-11-20 22:45,442,15.1,7.3,19.3,46.4,4.0 (Poor)
Field-J,2025-12-15 13:35,879,27.2,6.7,22.5,38.0,9.9 (Excellent)
Field-E,2025-12-17 00:17,392,24.0,5.8,24.9,45.0,5.4 (Fair)
Field-D,2025-11-26 01:39,983,17.3,6.3,27.0,46.1,8.2 (Good)
Field-C,2025-11-20 15:27,800,24.5,5.1,18.9,32.2,8.1 (Good)
Field-B,2025-12-06 13:28,1028,21.1,6.7,19.4,34.5,9.4 (Excellent)
Field-J,2025-11-27 17:58,951,14.1,6.7,22.5,41.3,8.4 (Good)
Field-H,2025-11-25 09:03,1090,3.0,7.2,23.0,50.1,6.5 (Fair)
Field-A,2025-12-02 12:56,967,9.5,5.1,27.2,50.8,5.7 (Fair)
Field-A,2025-12-18 22:29,692,25.4,5.6,21.5,28.2,7.6 (Good)
Field-E,2025-12-09 09:23,385,8.1,7.1,18.7,40.1,4.1 (Poor)
Field-D,2025-12-19 02:04,719,5.0,5.9,27.0,50.6,4.0 (Poor)
Field-H,2025-11-23 02:55,752,12.6,6.1,18.9,48.2,6.4 (Fair)
Field-E,2025-11-29 19:21,832,2.5,6.1,20.0,34.2,4.8 (Fair)
Field-B,2025-12-03 07:38,1044,9.8,5.5,21.9,46.5,6.3 (Fair)
Field-I,2025-11-20 21:02,875,25.7,6.8,23.4,41.8,9.4 (Excellent)
Field-B,2025-11-23 00:40,1086,10.0,6.6,27.8,49.4,8.2 (Good)
Field-I,2025-12-09 23:46,791,6.7,7.0,18.4,43.0,5.5 (Fair)
Field-G,2025-12-03 21:28,952,20.0,7.5,21.5,50.4,7.5 (Good)
Field-D,2025-12-18 16:50,643,23.2,7.0,25.0,37.2,7.7 (Good)
Field-A,2025-12-08 19:56,479,25.3,5.9,19.8,45.3,6.2 (Fair)
Field-C,2025-12-01 14:12,429,26.4,5.8,26.0,27.0,6.5 (Fair)
Field-C,2025-12-10 15:04,1047,17.7,7.5,20.1,27.7,8.0 (Good)
Field-I,2025-12-08 04:25,470,10.1,7.3,24.0,44.0,3.7 (Poor)
Field-G,2025-12-09 00:40,1098,6.2,5.8,24.5,41.0,5.9 (Fair)
Field-G,2025-12-12 00:50,692,25.1,5.7,19.7,44.0,7.3 (Good)
Field-D,2025-11-22 07:46,441,7.9,5.7,26.8,33.4,2.9 (Very Poor)
Field-H,2025-12-06 04:02,849,25.6,4.8,26.3,27.9,8.9 (Excellent)
Field-F,2025-12-10 16:28,1056,23.2,6.5,25.0,43.0,9.9 (Excellent)
Field-C,2025-11-28 16:41,351,20.3,5.1,24.7,45.9,4.5 (Poor)
Field-C,2025-12-19 23:45,946,17.5,6.5,26.6,40.8,8.9 (Excellent)
Field-C,2025-11-21 09:28,820,13.2,6.4,19.7,44.9,6.7 (Good)
Field-F,2025-11-29 22:57,509,2.3,7.7,24.5,46.2,1.9 (Very Poor)
Field-J,2025-12-02 02:01,392,13.7,4.8,24.6,51.1,3.3 (Poor)
Field-H,2025-11-23 23:23,684,2.5,5.2,22.5,33.5,3.1 (Poor)
Field-J,2025-12-03 21:19,1100,15.5,6.9,23.1,26.7,8.9 (Excellent)
Field-I,2025-12-19 20:59,677,17.0,6.0,19.7,44.8,7.1 (Good)
Field-D,2025-12-15 23:51,853,7.1,5.1,19.0,34.0,4.6 (Fair)
Field-B,2025-11-23 07:53,784,27.4,7.8,21.2,37.1,8.2 (Good)
Field-E,2025-11-23 19:07,623,13.4,5.7,26.3,49.8,4.6 (Fair)
Field-J,2025-12-19 12:23,697,9.8,6.8,23.4,36.5,6.0 (Fair)
Field-F,2025-11-22 12:51,936,6.3,6.8,23.0,31.9,6.2 (Fair)
Field-I,2025-12-14 15:57,978,4.3,5.3,26.6,50.8,4.9 (Fair)
Field-F,2025-11-24 17:57,828,12.0,5.5,24.4,25.1,5.6 (Fair)
Field-B,2025-12-03 15:44,855,17.9,5.9,22.8,47.4,6.5 (Fair)
Field-E,2025-12-16 01:06,832,18.6,5.0,27.5,38.0,6.7 (Good)
Field-B,2025-11-23 09:57,450,18.0,7.1,25.6,29.0,6.0 (Fair)
Field-A,2025-12-07 17:42,975,20.4,6.0,24.0,47.6,9.2 (Excellent)
Field-G,2025-12-16 10:34,1080,14.8,7.2,20.4,27.7,8.4 (Good)
Field-B,2025-11-24 11:15,477,26.5,6.5,20.1,35.4,7.3 (Good)
Field-G,2025-12-07 10:10,622,8.1,7.4,21.2,39.0,3.9 (Poor)
Field-F,2025-12-03 04:46,823,8.5,6.4,21.6,43.2,5.6 (Fair)
Field-J,2025-11-25 14:16,882,24.3,5.5,23.6,45.6,8.7 (Excellent)
Field-C,2025-12-19 21:01,779,6.0,6.3,22.0,42.2,5.9 (Fair)
Field-B,2025-12-09 18:52,1028,13.6,5.8,20.8,36.4,7.0 (Good)
Field-F,2025-12-15 16:46,895,13.5,5.9,26.2,34.2,6.6 (Good)
Field-B,2025-11-30 03:15,692,11.6,5.5,27.6,36.4,4.5 (Poor)
Field-G,2025-12-01 14:38,954,6.5,5.9,18.9,27.6,5.6 (Fair)
Field-H,2025-12-09 08:07,474,28.0,5.4,19.4,37.0,7.1 (Good)
Field-J,2025-12-15 17:30,616,3.8,7.5,19.2,30.6,2.5 (Very Poor)
Field-I,2025-12-05 09:56,982,7.5,5.3,28.0,33.5,5.3 (Fair)
Field-A,2025-11-26 03:28,1141,3.4,6.0,18.6,44.6,6.7 (Good)
Field-E,2025-12-15 14:50,1083,23.2,7.6,23.6,31.3,8.9 (Excellent)
Field-G,2025-12-04 13:54,367,13.6,7.4,19.5,45.5,3.5 (Poor)
Field-E,2025-12-05 12:00,1061,26.2,5.4,24.0,35.8,9.6 (Excellent)
Field-E,2025-12-01 10:52,645,11.0,6.3,24.4,46.5,5.7 (Fair)
Field-J,2025-11-30 04:57,687,16.2,7.8,19.6,44.4,6.1 (Fair)
Field-E,2025-11-25 12:37,834,4.3,6.3,21.3,36.2,4.9 (Fair)
Field-F,2025-12-07 03:03,785,4.9,6.2,27.4,36.1,4.8 (Fair)
Field-H,2025-12-02 20:53,827,13.0,7.5,18.9,29.5,5.3 (Fair)
Field-A,2025-12-11 02:38,436,5.3,5.7,19.5,26.5,2.5 (Very Poor)
Field-B,2025-12-12 23:32,462,9.6,7.5,25.1,49.4,3.2 (Poor)
Field-C,2025-12-10 17:38,809,12.9,6.5,24.4,38.8,7.3 (Good)
Field-C,2025-11-21 08:36,1013,14.0,5.5,21.0,35.9,6.9 (Good)
Field-C,2025-12-11 01:05,578,11.1,7.4,20.4,29.5,3.9 (Poor)
Field-J,2025-11-27 17:27,657,11.4,7.4,25.7,25.9,4.1 (Poor)
Field-I,2025-12-08 21:47,1094,13.7,6.7,26.2,32.4,8.5 (Good)
Field-G,2025-12-16 17:56,911,11.5,5.6,25.0,51.0,5.8 (Fair)
Field-A,2025-11-30 11:17,369,14.5,4.9,26.5,46.2,4.0 (Poor)
Field-I,2025-12-14 16:43,925,22.5,4.8,23.8,50.1,8.2 (Good)
Field-I,2025-12-14 13:43,839,15.9,5.2,23.9,44.7,6.6 (Good)
Field-E,2025-12-16 16:06,860,2.8,5.5,25.3,25.9,3.7 (Poor)
Field-B,2025-11-24 08:30,947,5.1,6.6,23.3,32.2,6.2 (Fair)
Field-C,2025-12-09 06:15,747,3.9,5.3,20.8,36.2,3.3 (Poor)
Field-J,2025-12-02 01:37,475,3.4,7.8,24.0,48.7,2.2 (Very Poor)
Field-C,2025-12-01 18:16,800,19.8,5.9,24.7,32.0,6.8 (Good)
Field-I,2025-12-17 15:41,540,19.5,5.1,27.0,31.3,5.3 (Fair)
Field-C,2025-12-02 02:08,453,24.9,6.2,25.8,28.7,7.7 (Good)
Field-J,2025-12-05 00:45,701,9.0,4.8,27.6,36.9,4.7 (Fair)
Field-C,2025-11-22 10:54,663,7.1,5.9,23.2,32.2,4.1 (Poor)
Field-E,2025-12-18 17:43,629,24.6,6.8,19.3,25.5,8.6 (Excellent)
Field-C,2025-11-24 17:00,986,4.8,7.0,21.1,36.3,6.4 (Fair)
Field-A,2025-12-05 16:46,472,12.9,6.4,22.9,40.2,4.6 (Fair)
Field-I,2025-11-25 06:50,460,4.0,7.3,21.7,45.5,2.0 (Very Poor)
Field-D,2025-12-15 22:46,690,7.6,6.6,27.5,45.6,5.6 (Fair)
Field-D,2025-12-19 05:39,778,20.2,7.7,21.8,34.8,6.6 (Good)
Field-I,2025-12-12 23:07,1117,18.8,5.3,18.3,38.4,8.8 (Excellent)
Field-A,2025-11-27 05:59,767,9.7,5.9,18.8,30.1,5.2 (Fair)
Field-C,2025-12-14 22:18,915,15.0,6.8,18.7,37.2,7.6 (Good)
Field-A,2025-12-17 13:28,439,24.5,5.2,23.8,42.4,6.0 (Fair)
Field-F,2025-12-01 17:11,681,20.5,6.3,19.2,38.9,7.5 (Good)
Field-D,2025-11-26 01:45,445,26.1,6.7,20.9,27.0,8.0 (Good)
Field-I,2025-12-10 06:31,869,2.5,5.3,26.3,28.8,4.1 (Poor)
Field-B,2025-12-07 05:17,1025,26.9,5.5,22.8,28.8,9.6 (Excellent)
Field-D,2025-11-28 20:38,754,26.8,5.4,18.4,42.7,7.8 (Good)
Field-E,2025-11-28 17:32,1008,15.3,6.4,18.4,25.2,8.0 (Good)
Field-D,2025-12-07 21:03,829,26.0,7.0,25.9,47.8,9.2 (Excellent)
Field-I,2025-12-05 00:24,953,21.6,7.5,26.1,43.8,8.7 (Excellent)
Field-B,2025-12-05 16:49,1015,3.1,6.4,24.4,30.3,6.0 (Fair)
Field-F,2025-11-23 04:04,457,4.5,5.4,19.2,41.3,2.2 (Very Poor)
Field-I,2025-11-29 17:40,746,7.8,7.8,27.2,47.0,4.7 (Fair)
Field-F,2025-12-19 23:03,551,27.1,7.1,19.1,34.5,8.6 (Excellent)
Field-H,2025-12-03 22:13,959,2.3,6.1,27.6,38.3,5.2 (Fair)
Field-D,2025-12-14 17:30,1060,15.1,6.2,19.1,43.7,8.3 (Good)
Field-I,2025-12-19 11:43,682,27.0,4.9,22.7,43.3,7.9 (Good)
Field-D,2025-12-03 15:30,509,26.8,6.3,26.5,40.0,8.0 (Good)
Field-B,2025-12-09 02:57,895,11.0,7.4,20.5,27.3,5.7 (Fair)
Field-C,2025-11-30 15:21,710,4.9,6.1,22.0,35.9,4.5 (Poor)
Field-G,2025-11-24 01:38,684,25.0,5.6,20.3,46.6,7.4 (Good)
Field-C,2025-11-28 23:34,502,16.1,5.6,28.0,37.5,4.4 (Poor)
Field-C,2025-12-20 01:57,357,14.3,5.6,27.0,42.6,4.0 (Poor)
Field-B,2025-11-21 04:11,1143,27.5,5.6,26.3,43.0,9.9 (Excellent)
Field-J,2025-12-05 03:01,1120,2.6,5.9,26.6,32.8,4.9 (Fair)
Field-J,2025-12-16 13:25,1057,12.3,5.0,24.7,28.4,7.4 (Good)
Field-A,2025-11-20 12:25,422,25.1,5.3,21.1,31.1,6.4 (Fair)
Field-B,2025-11-30 19:13,855,10.4,4.8,21.9,45.0,5.7 (Fair)
Field-E,2025-12-01 07:30,1028,2.2,7.4,18.9,41.2,4.9 (Fair)
Field-E,2025-12-06 12:11,575,21.6,6.6,23.4,47.1,7.8 (Good)
Field-F,2025-11-24 21:31,799,4.5,5.6,25.3,32.9,4.1 (Poor)
Field-H,2025-11-21 20:03,1058,9.9,6.7,27.1,46.1,7.3 (Good)
Field-F,2025-12-14 12:23,483,27.8,7.1,26.7,47.9,8.4 (Good)
Field-A,2025-11-21 03:03,432,17.0,4.9,23.0,27.3,4.0 (Poor)
Field-I,2025-12-20 07:14,823,7.9,5.1,20.3,26.3,5.1 (Fair)
Field-G,2025-12-04 03:13,815,4.6,5.8,18.4,38.1,4.5 (Poor)
Field-A,2025-12-04 22:32,982,14.8,5.4,24.5,48.9,6.7 (Good)
Field-G,2025-11-23 21:41,1147,9.8,7.1,19.4,43.8,8.6 (Excellent)
Field-F,2025-12-02 01:07,1140,14.6,5.5,20.5,31.2,8.1 (Good)
Field-G,2025-12-20 07:42,577,13.0,4.9,23.4,29.4,4.6 (Fair)
Field-F,2025-12-08 14:50,1044,2.8,7.3,20.7,26.0,5.4 (Fair)
Field-H,2025-12-13 05:01,1095,12.4,5.6,24.3,51.1,7.2 (Good)
Field-B,2025-11-26 07:08,752,17.9,7.0,23.2,33.7,7.2 (Good)
Field-J,2025-12-11 04:09,542,12.1,5.2,27.9,31.0,4.6 (Fair)
Field-B,2025-12-02 15:59,615,20.0,7.5,23.2,26.8,6.3 (Fair)
Field-B,2025-12-14 16:09,1128,9.1,5.0,19.2,49.0,7.1 (Good)
Field-B,2025-11-20 16:01,1009,12.7,5.8,25.8,38.8,6.7 (Good)
Field-G,2025-11-25 23:21,1003,23.3,5.9,19.0,51.9,8.5 (Good)
Field-I,2025-12-05 05:31,566,3.5,5.0,27.2,42.0,2.4 (Very Poor)
Field-J,2025-12-03 10:03,443,13.5,5.8,23.9,40.4,3.8 (Poor)
Field-I,2025-12-07 13:37,904,12.3,4.9,18.9,52.0,5.8 (Fair)
Field-I,2025-12-01 10:49,385,16.6,6.9,23.3,43.1,5.4 (Fair)
Field-E,2025-12-19 01:06,897,16.3,7.3,21.8,47.2,6.7 (Good)
Field-D,2025-11-20 21:03,532,6.7,5.7,23.2,30.3,3.1 (Poor)
Field-G,2025-12-06 13:43,980,26.4,6.6,23.6,30.3,9.9 (Excellent)
Field-A,2025-12-09 12:08,678,18.6,6.0,27.9,44.3,7.1 (Good)
Field-G,2025-12-16 23:25,921,9.4,7.6,23.6,41.2,5.8 (Fair)
Field-H,2025-12-02 05:27,676,26.1,7.4,25.2,35.9,7.4 (Good)
Field-A,2025-12-02 11:38,858,15.1,5.3,27.8,36.4,6.5 (Fair)
Field-B,2025-11-23 17:32,529,24.6,7.1,27.9,45.2,7.3 (Good)
Field-C,2025-12-17 22:19,850,13.6,5.8,24.0,39.2,5.6 (Fair)
Field-B,2025-11-30 23:33,1008,13.1,4.8,26.9,42.5,6.6 (Good)
Field-B,2025-12-09 05:52,442,10.2,6.0,27.3,50.5,4.8 (Fair)
Field-B,2025-12-17 00:03,570,25.1,7.7,20.1,42.1,6.4 (Fair)
Field-B,2025-12-19 09:53,522,10.3,5.0,22.2,25.5,3.9 (Poor)
Field-G,2025-12-16 10:11,405,10.6,5.5,23.9,32.1,3.5 (Poor)
Field-E,2025-12-04 10:27,1091,10.5,6.4,20.5,30.9,7.8 (Good)
Field-G,2025-11-22 11:10,620,18.2,5.2,26.2,32.4,5.8 (Fair)
Field-D,2025-12-11 10:05,1056,20.8,6.2,20.2,34.8,9.9 (Excellent)
Field-D,2025-11-27 09:07,660,7.0,6.3,24.4,38.7,5.0 (Fair)
Field-J,2025-12-05 20:47,394,14.5,7.7,19.9,49.1,3.4 (Poor)
Field-C,2025-12-10 07:38,445,15.1,5.3,26.8,38.6,4.6 (Fair)
Field-C,2025-11-29 21:48,638,12.1,7.0,23.0,42.0,5.7 (Fair)
Field-B,2025-11-29 04:46,835,15.2,5.3,20.3,35.0,6.5 (Fair)
Field-E,2025-11-29 23:59,903,20.7,5.6,24.4,32.2,7.9 (Good)
Field-A,2025-12-08 17:57,577,25.6,5.8,22.1,45.6,6.6 (Good)
Field-J,2025-12-17 00:27,681,11.1,6.0,18.9,34.3,6.3 (Fair)
Field-E,2025-11-27 18:48,818,25.3,6.4,19.0,42.3,9.7 (Excellent)
Field-C,2025-12-07 17:18,734,22.4,5.6,18.8,37.9,7.2 (Good)
Field-H,2025-12-17 12:24,388,13.8,5.0,23.4,49.2,3.2 (Poor)
Field-G,2025-12-07 04:40,379,16.2,6.3,18.6,44.6,5.6 (Fair)
Field-H,2025-11-27 02:21,510,15.2,7.6,22.7,46.4,4.3 (Poor)
Field-E,2025-12-05 23:39,631,10.5,6.1,23.4,32.0,5.3 (Fair)
Field-C,2025-11-23 08:07,991,2.1,5.1,27.4,50.0,4.7 (Fair)
Field-H,2025-11-22 03:16,841,6.7,7.4,18.3,35.3,4.5 (Poor)
Field-C,2025-12-14 07:55,959,15.8,5.9,19.1,42.3,6.8 (Good)
Field-D,2025-12-02 11:25,1057,21.9,6.9,24.2,32.8,9.9 (Excellent)
Field-E,2025-12-07 18:52,891,27.7,6.3,26.2,25.4,9.9 (Excellent)
Field-G,2025-11-26 11:01,862,18.2,5.2,21.3,46.1,7.3 (Good)
Field-D,2025-12-18 06:50,841,9.5,5.5,20.1,52.0,5.3 (Fair)
Field-D,2025-12-02 20:19,620,25.9,5.4,25.1,40.4,7.7 (Good)
Field-D,2025-12-04 15:22,450,2.2,6.8,20.0,27.7,2.6 (Very Poor)
Field-B,2025-12-19 00:13,546,18.4,7.5,27.8,49.3,5.3 (Fair)
Field-H,2025-11-24 17:26,713,14.6,5.9,23.2,38.8,5.7 (Fair)
Field-I,2025-12-08 09:47,1111,5.7,7.6,24.9,42.5,5.4 (Fair)
Field-C,2025-11-24 10:32,487,19.0,5.0,22.8,38.6,5.1 (Fair)
Field-H,2025-12-16 02:35,1072,24.0,5.1,24.3,35.7,9.2 (Excellent)
Field-A,2025-11-29 06:23,1028,4.4,5.4,22.0,42.2,5.1 (Fair)
Field-C,2025-12-06 01:47,1029,8.8,6.4,20.4,25.9,6.9 (Good)
Field-J,2025-12-02 03:22,470,6.2,6.5,23.5,25.1,4.0 (Poor)
Field-D,2025-11-30 14:24,361,20.3,6.2,25.5,49.0,5.6 (Fair)
Field-E,2025-11-30 22:58,468,18.0,7.0,22.4,39.0,6.3 (Fair)
Field-A,2025-12-18 02:45,548,26.0,5.3,25.1,27.4,6.7 (Good)
Field-I,2025-11-22 11:21,817,18.2,7.1,24.8,39.6,7.6 (Good)
Field-G,2025-11-29 03:18,1049,11.7,6.5,19.5,38.5,7.4 (Good)
Field-H,2025-12-07 23:58,975,14.6,5.9,22.7,34.3,6.9 (Good)
Field-J,2025-11-27 03:36,1048,11.4,6.5,26.5,31.2,7.6 (Good)
Field-I,2025-12-05 12:53,946,2.4,5.0,24.4,28.4,3.9 (Poor)
Field-I,2025-12-19 23:35,452,12.7,5.5,20.5,33.0,4.0 (Poor)
Field-G,2025-12-19 21:51,669,5.3,6.4,18.3,50.9,4.5 (Poor)
Field-D,2025-12-19 05:41,722,20.4,6.6,19.6,49.5,7.6 (Good)
Field-I,2025-11-29 08:41,979,3.6,6.1,25.3,29.5,6.4 (Fair)
Field-H,2025-12-15 09:32,546,9.7,7.4,26.0,38.0,3.3 (Poor)
Field-B,2025-12-17 17:03,897,26.8,7.3,19.0,38.0,9.0 (Excellent)
Field-G,2025-11-21 10:05,533,21.6,5.8,18.8,44.8,6.4 (Fair)
Field-F,2025-12-16 07:06,639,13.2,5.4,26.6,32.0,4.8 (Fair)
Field-J,2025-12-01 08:04,370,12.3,7.1,24.9,51.4,4.6 (Fair)
Field-I,2025-12-07 09:04,541,12.0,7.6,24.8,35.3,4.0 (Poor)
Field-A,2025-11-28 05:00,763,14.2,5.4,21.1,42.7,5.6 (Fair)
Field-D,2025-12-12 07:40,725,11.2,5.5,25.0,47.2,5.2 (Fair)
Field-J,2025-12-02 04:30,929,12.8,7.0,20.2,44.0,7.7 (Good)
Field-A,2025-12-04 21:11,966,6.7,5.3,26.3,33.4,5.1 (Fair)
Field-B,2025-12-19 18:23,395,12.1,7.2,18.1,42.3,4.4 (Poor)
Field-F,2025-11-27 20:38,1012,14.6,6.0,20.3,36.2,8.3 (Good)
Field-H,2025-12-13 19:52,420,4.5,5.8,21.7,42.5,1.5 (Very Poor)
Field-B,2025-12-02 23:10,876,6.6,6.8,20.3,33.8,5.9 (Fair)
Field-E,2025-12-13 03:08,1149,26.1,6.6,20.3,32.1,9.9 (Excellent)
Field-H,2025-12-04 00:57,946,15.1,6.6,20.0,38.3,7.9 (Good)
Field-B,2025-12-06 20:44,920,8.1,6.0,25.8,51.5,6.9 (Good)
Field-D,2025-12-10 00:30,984,22.1,4.8,20.1,45.5,8.4 (Good)
Field-H,2025-11-24 08:23,616,6.1,7.6,22.1,45.9,3.4 (Poor)
Field-H,2025-12-11 05:48,605,26.4,5.7,26.1,26.0,7.6 (Good)
Field-E,2025-12-15 08:11,910,10.2,6.3,18.5,34.1,7.2 (Good)
Field-G,2025-12-10 08:17,472,27.9,7.8,26.4,47.2,6.7 (Good)
Field-C,2025-12-16 14:01,849,8.1,5.5,21.4,32.0,4.9 (Fair)
Field-G,2025-12-03 18:27,796,2.2,6.2,24.4,50.5,4.3 (Poor)
Field-D,2025-12-02 06:06,1086,25.0,5.7,26.4,35.1,9.1 (Excellent)
Field-G,2025-12-11 01:00,363,17.7,6.2,22.0,28.4,5.3 (Fair)
Field-E,2025-12-11 16:12,738,23.2,6.7,18.1,32.7,8.5 (Good)
Field-E,2025-11-26 18:57,906,5.5,5.7,23.3,30.8,4.7 (Fair)
Field-F,2025-11-25 16:04,792,16.2,6.3,22.8,43.3,7.8 (Good)
Field-A,2025-11-27 13:19,795,15.5,7.2,20.2,35.7,6.9 (Good)
Field-E,2025-11-21 00:42,470,18.4,5.3,24.4,32.8,4.9 (Fair)
Field-E,2025-12-02 16:18,799,6.4,7.8,18.1,32.7,3.9 (Poor)
Field-F,2025-12-13 10:13,511,26.4,5.4,27.2,36.0,6.6 (Good)
Field-C,2025-11-30 14:09,457,18.5,4.8,23.7,46.2,5.3 (Fair)
Field-A,2025-12-17 12:16,1120,20.5,7.7,21.7,26.0,8.9 (Excellent)
Field-B,2025-12-03 14:01,782,16.8,6.8,22.4,30.6,8.0 (Good)
Field-D,2025-11-30 18:37,395,21.0,5.9,20.2,38.1,4.8 (Fair)
Field-A,2025-11-27 00:41,462,18.9,6.4,23.0,38.5,6.5 (Fair)
Field-D,2025-11-23 21:03,803,3.0,5.3,23.7,27.8,3.2 (Poor)
Field-J,2025-12-11 22:27,665,10.9,7.6,22.2,28.7,4.3 (Poor)
Field-B,2025-12-06 04:25,814,21.9,4.9,23.3,34.3,7.2 (Good)
Field-E,2025-12-19 16:32,638,21.2,7.0,20.8,29.2,7.3 (Good)
Field-B,2025-12-11 01:15,577,22.1,5.0,25.5,39.7,6.0 (Fair)
Field-B,2025-11-21 07:57,1062,3.9,7.8,21.7,35.0,5.6 (Fair)
Field-A,2025-12-16 05:01,998,2.0,6.8,24.7,36.6,5.4 (Fair)
Field-I,2025-12-15 15:47,871,27.3,5.5,23.7,32.7,9.2 (Excellent)
Field-J,2025-12-06 13:22,888,23.6,6.4,20.7,27.7,9.6 (Excellent)
Field-B,2025-12-11 02:58,877,9.6,5.0,20.2,46.7,5.2 (Fair)
Field-E,2025-12-07 10:35,1003,10.8,7.5,22.5,41.4,5.9 (Fair)
Field-F,2025-11-23 03:31,755,16.5,6.0,18.3,46.9,7.2 (Good)
Field-F,2025-11-23 12:49,735,20.8,7.5,20.3,37.5,7.3 (Good)
Field-J,2025-11-21 12:43,972,14.9,6.3,18.4,25.9,8.3 (Good)
Field-G,2025-12-10 19:06,459,16.9,6.3,23.1,38.3,6.3 (Fair)
Field-B,2025-11-22 23:51,350,21.0,4.9,26.8,26.4,4.9 (Fair)
Field-H,2025-12-01 15:01,569,18.2,4.8,23.4,42.2,5.4 (Fair)
Field-D,2025-12-02 08:37,601,23.1,5.5,27.9,36.1,6.6 (Good)
Field-E,2025-11-24 11:35,500,23.0,5.3,19.8,50.3,5.8 (Fair)
Field-D,2025-12-17 01:13,794,15.6,5.1,18.4,38.1,5.7 (Fair)
Field-H,2025-12-05 00:37,1084,12.9,7.3,18.1,46.8,6.8 (Good)
Field-B,2025-11-25 16:41,1149,19.1,7.4,23.0,36.1,9.1 (Excellent)
Field-I,2025-12-16 11:11,1033,7.7,6.6,24.6,42.0,7.2 (Good)
Field-F,2025-11-24 02:06,902,15.6,6.3,27.8,45.8,7.5 (Good)
Field-J,2025-11-28 05:19,677,5.9,5.2,20.1,45.1,3.7 (Poor)
Field-H,2025-11-26 09:45,412,16.8,4.9,19.2,37.8,4.0 (Poor)
Field-E,2025-12-08 03:30,835,6.0,5.9,20.8,28.6,4.3 (Poor)
Field-D,2025-12-08 03:45,476,21.8,6.4,25.1,46.6,7.0 (Good)
Field-F,2025-12-07 09:20,1049,9.8,7.3,18.8,47.8,6.1 (Fair)
Field-H,2025-12-19 16:39,763,23.7,5.8,25.1,44.0,7.3 (Good)
Field-F,2025-12-09 22:26,880,17.1,4.9,19.6,41.1,7.3 (Good)
Field-F,2025-12-06 08:29,1024,2.9,5.6,18.8,38.0,4.6 (Fair)
Field-I,2025-12-11 09:48,369,10.9,5.8,27.6,50.3,3.2 (Poor)
Field-C,2025-11-27 10:28,571,16.6,5.9,21.2,46.5,5.0 (Fair)
Field-G,2025-12-02 23:41,916,2.1,5.5,27.3,50.4,4.5 (Poor)
Field-D,2025-12-03 12:17,1070,5.6,5.8,22.3,38.7,6.0 (Fair)
Field-D,2025-11-29 04:22,803,9.8,7.5,20.1,37.5,4.7 (Fair)
Field-B,2025-11-28 00:40,1132,15.1,7.7,23.0,51.6,8.2 (Good)
Field-F,2025-11-22 16:48,1107,11.7,6.4,26.6,34.8,8.4 (Good)
Field-C,2025-12-14 04:57,445,17.9,5.9,25.0,49.5,4.6 (Fair)
Field-J,2025-11-23 00:48,831,4.2,7.5,22.8,44.9,3.6 (Poor)
Field-B,2025-11-23 02:21,558,3.3,6.9,19.5,35.3,3.4 (Poor)
Field-E,2025-11-22 04:48,979,12.5,6.6,25.2,37.1,7.5 (Good)
Field-J,2025-12-13 13:09,393,18.6,7.1,18.6,37.3,6.0 (Fair)
Field-H,2025-11-30 01:20,383,3.4,7.2,20.4,36.0,3.1 (Poor)
Field-B,2025-12-14 12:12,806,9.7,6.6,22.1,42.8,6.7 (Good)
Field-D,2025-12-03 22:33,642,7.9,6.5,20.0,34.3,5.0 (Fair)
Field-H,2025-12-18 18:49,492,25.2,7.6,24.1,27.3,6.6 (Good)
Field-E,2025-12-05 12:26,934,24.1,7.1,27.7,45.8,9.6 (Excellent)
Field-J,2025-12-16 13:37,450,3.2,7.2,18.8,30.5,2.8 (Very Poor)
Field-G,2025-11-23 03:10,634,22.7,6.9,20.5,45.9,7.7 (Good)
